Epoch,Training Loss,Train Accuracy,Validation Accuracy
1,3.9611048015487165,9.294,14.1
2,3.5090397279280836,16.5,17.9
3,3.2870428171913946,20.464,20.81
4,3.1171889103891903,23.724,24.0
5,2.9690973328812347,26.188,26.07
6,2.8435924946499602,28.778,27.7
7,2.737054523604605,30.956,28.97
8,2.6397621412106487,32.738,30.7
9,2.530147140288292,34.852,31.27
10,2.4403658902553644,36.594,30.46
11,2.3450890861813676,38.708,32.2
12,2.2391665741000946,41.164,32.19
13,2.1346459928375987,43.454,34.79
14,2.0354876932890518,45.354,35.35
15,1.9159842683836017,48.29,34.88
16,1.796717387788436,51.004,34.49
17,1.6658832818041067,54.002,35.77
18,1.5277280023945567,57.34,34.87
19,1.3903966492704114,61.19,35.71
20,1.2326106103637335,65.12,35.43
21,1.0539153145859614,70.242,35.92
22,0.8747108220063207,75.292,35.13
23,0.6936745256795298,80.676,35.23
24,0.5104817663845809,86.27,34.96
25,0.37351472590051954,90.294,34.71
26,0.2213928175951971,95.004,35.51
27,0.1213497181739801,97.772,36.43
28,0.07392252314969174,98.702,37.18
29,0.04554973457061002,99.214,37.23
30,0.031166602029700948,99.484,37.71
31,0.024099865597803766,99.622,37.88
32,0.018224197301699226,99.73,37.84
33,0.013440037277215124,99.812,37.92
34,0.012917261215193612,99.794,38.01
35,0.01006393336013312,99.846,37.58
36,0.009940114425485739,99.858,38.06
37,0.008776439498524037,99.87,37.74
38,0.008167306189020366,99.872,38.0
39,0.007477344178994808,99.888,38.03
40,0.00623599965842274,99.906,37.99
41,0.005984749624153118,99.916,38.1
42,0.005244108340333757,99.922,38.23
43,0.005372980891493485,99.922,37.95
44,0.004685828595331696,99.93,38.12
45,0.00449736939806877,99.926,38.16
46,0.003957479494734598,99.946,38.05
47,0.003931588411707517,99.952,37.86
48,0.0036349746970581296,99.95,38.14
49,0.0034032140465755766,99.954,38.0
50,0.003332292960296907,99.948,37.84
51,0.0035827655251116476,99.952,38.08
52,0.003235878377897984,99.956,37.8
53,0.003199398425161181,99.954,38.03
54,0.004393638676458784,99.928,38.11
55,0.004338455324232712,99.932,37.89
56,0.0026572432834655046,99.968,38.0
57,0.002387123036226901,99.974,38.05
58,0.002500315528491612,99.964,38.07
59,0.0024553685988861675,99.962,37.92
60,0.0024870340858259813,99.966,38.14
61,0.0023914275525966683,99.962,37.97
62,0.002156465089239199,99.966,37.93
63,0.002154816548465668,99.964,38.09
64,0.002021845389047966,99.97,38.24
65,0.0019731662966206175,99.966,37.99
66,0.0019160182897240885,99.97,38.06
67,0.001917092498335892,99.968,38.04
68,0.0017756955214904722,99.968,37.96
69,0.001782229192607948,99.97,37.96
70,0.0017683153248230076,99.968,38.1
71,0.0017510546058567616,99.966,38.16
72,0.0016184453478069914,99.974,38.06
73,0.0016551622221737032,99.968,38.13
74,0.0015912688394729762,99.974,37.91
75,0.0015480172096291923,99.972,38.04
76,0.0015091056572398424,99.972,38.09
77,0.0015039974139542426,99.972,38.06
78,0.0014821312383866494,99.972,38.1
79,0.0015732242546849372,99.966,38.07
80,0.0014898169556777933,99.97,37.98
81,0.0013717143412898568,99.976,37.87
82,0.0014356330017466336,99.968,38.08
83,0.0014534288172638687,99.968,37.97
84,0.0013732007995564633,99.968,37.98
85,0.001254009593160861,99.98,37.85
86,0.001433636637075859,99.968,38.06
87,0.0013605077373449836,99.97,38.09
88,0.0013347260495129726,99.97,37.99
89,0.0013167396880914945,99.972,37.88
90,0.0013122553305933847,99.972,37.99
91,0.0012614179085946077,99.974,37.91
92,0.0013355507606627357,99.968,38.03
93,0.001265389014906643,99.966,37.97
94,0.0012110405278664864,99.972,38.0
95,0.0012100560804549128,99.97,37.99
96,0.00128708635133815,99.972,38.02
97,0.0012639921644310732,99.972,37.98
98,0.0012403855998994416,99.966,37.99
99,0.0012087546953814738,99.968,37.98
100,0.0011813801907859219,99.974,38.08
